Price,Close,High,Low,Open,Volume
Ticker,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
Date,,,,,
2023-04-20,4152.53271484375,4168.076886342578,4092.5691052985662,4105.033580475949,409146
2023-04-21,4146.70947265625,4174.333216862709,4122.40651814258,4160.858311389784,237639
2023-04-24,4169.6171875,4191.61025270528,4122.070113972138,4146.709565701573,279716
2023-04-25,4179.6748046875,4210.907898113035,4154.217140632491,4177.220634928131,367525
2023-04-26,4137.75830078125,4199.020899470891,4120.4334230389695,4182.032988344855,964051
2023-04-27,4242.86279296875,4256.674194677675,4132.945879450075,4138.720838759972,667011
2023-04-28,4265.7216796875,4273.181001557259,4225.392840959691,4232.419322894845,457064
2023-05-02,4329.29443359375,4337.475625831533,4258.117873138086,4273.4218910626705,522701
2023-05-03,4281.02587890625,4321.546940455932,4268.657746121859,4316.301164032351,351550
2023-05-04,4290.50634765625,4302.344826641926,4270.823172710713,4280.014795259417,191019
2023-05-05,4295.70361328125,4335.358052233495,4261.342417107477,4295.70361328125,180033
2023-05-08,4378.6220703125,4387.043885582102,4297.724707052591,4307.1569521675965,365732
2023-05-09,4358.98779296875,4405.331750490696,4350.13266678984,4401.33749736499,329083
2023-05-10,4385.0712890625,4404.850337267134,4359.468874743157,4384.156732492472,229527
2023-05-11,4377.32275390625,4421.69378465915,4365.003028866727,4421.69378465915,293197
2023-05-12,4368.66064453125,4455.2371028547095,4347.582135741308,4374.531947519205,620213
2023-05-15,4393.34814453125,4435.649908624101,4371.692047548709,4397.631427254751,534604
2023-05-16,4368.13134765625,4422.656496431615,4360.094435002224,4411.587824024877,321308
2023-05-17,4359.46875,4427.468801843532,4339.881919024453,4379.344140953928,346510
2023-05-18,4349.169921875,4400.952339416661,4343.972552447835,4369.671309570197,194233
2023-05-19,4315.0498046875,4379.488443977161,4296.617683495924,4363.944272421542,398571
2023-05-22,4353.59765625,4395.369769912793,4326.359284866629,4326.359284866629,368479
2023-05-23,4329.39111328125,4382.616803635495,4322.653660326666,4364.859084614223,239196
2023-05-24,4348.1591796875,4381.461536910345,4323.567197547821,4336.560855166217,395343
2023-05-25,4469.818359375,4476.940714963646,4335.646903132283,4336.6573329914445,1016606
2023-05-26,4442.82080078125,4489.597595656628,4432.569871936037,4439.355731169305,484972
2023-05-29,4445.27490234375,4488.250130292386,4435.265066926299,4485.170433992533,301343
2023-05-30,4419.6728515625,4461.493373068147,4414.668168426798,4442.002883913873,229574
2023-05-31,4395.8505859375,4455.33294580451,4381.8944349770545,4417.650962237412,719613
2023-06-01,4469.43359375,4494.650634039705,4395.947142683042,4414.956383707289,698733
2023-06-02,4493.97705078125,4530.455448716038,4472.946480570557,4498.885860047394,606833
2023-06-05,4533.39111328125,4540.032692634914,4493.880953624967,4512.168325250343,234925
2023-06-06,4548.98388671875,4566.982699129236,4533.391307519964,4540.5620704778,353149
2023-06-07,4601.439453125,4608.321185641974,4559.2824381528235,4559.2824381528235,239491
2023-06-08,4620.59326171875,4648.746190104403,4597.63770304158,4620.7859483613465,295499
2023-06-09,4565.490234375,4640.949608641438,4557.40538534063,4620.592971082656,208197
2023-06-12,4590.75537109375,4610.34220074173,4555.817057642923,4571.794537968819,137778
2023-06-13,4577.56982421875,4615.15499652676,4568.42613861562,4591.09266599221,247078
2023-06-14,4552.78564453125,4589.601010417009,4535.268079835251,4572.901658956395,191238
2023-06-15,4544.4599609375,4585.943515324,4526.124651929412,4564.046793190796,178304
2023-06-16,4467.845703125,4537.915023319309,4446.71878842679,4518.905781745407,658995
2023-06-19,4424.91845703125,4480.406099152949,4414.6195912223875,4470.781166609118,193043
2023-06-20,4487.1435546875,4494.84350072729,4397.679618650728,4413.031574054523,453523
2023-06-21,4475.73779296875,4527.231180698711,4463.081101006173,4502.543323378667,274821
2023-06-22,4439.11474609375,4493.880512273411,4429.008568030166,4489.11598319935,180102
2023-06-23,4449.22119140625,4480.4058773107035,4432.666120263604,4440.07750594235,348409
2023-06-26,4434.1103515625,4483.245917192626,4427.998425028849,4451.290951200385,298624
2023-06-27,4444.841796875,4503.168982234456,4437.093914144207,4460.097408989781,444793
2023-06-28,4539.40673828125,4562.218016349963,4446.815169381343,4456.343758586568,769406
2023-06-30,4653.7275390625,4696.827448244194,4597.6336267395645,4598.625564954611,587936
2023-07-03,4573.47998046875,4650.206500723158,4551.062079223428,4647.429267370221,457367
2023-07-04,4588.11083984375,4637.112489909885,4574.769561700095,4574.769561700095,286373
2023-07-05,4850.62744140625,4860.497420723004,4595.649908206057,4610.479578768447,891033
2023-07-06,4878.0546875,4898.190839253533,4793.045389889241,4850.577805579137,888595
2023-07-07,4795.029296875,4873.54110915946,4781.6875342411295,4836.194732501875,405959
2023-07-10,4858.4638671875,4911.085994599543,4805.989949290654,4809.908298891775,659388
2023-07-11,4878.0048828125,4914.508499856271,4865.4569612187925,4898.686891534965,400593
2023-07-12,4839.12109375,4907.614232555365,4827.763207649715,4889.263375900029,295827
2023-07-13,4827.2177734375,4949.7715424387125,4810.751502699903,4881.327807683548,501038
2023-07-14,4820.42333984375,4866.7465666964845,4810.900635531252,4855.488454746955,419873
2023-07-17,4794.18603515625,4866.845508619902,4782.233373532584,4844.576786540668,250127
2023-07-18,4821.4150390625,4954.830730484347,4791.06163247228,4806.486078151518,270028
2023-07-19,4784.7626953125,4869.57341307426,4779.356922623475,4841.650449066109,247325
2023-07-20,4829.44970703125,4849.585858748956,4743.4978745440185,4789.07762856207,450566
2023-07-21,4823.498046875,4840.063124098199,4796.269149727728,4803.064023221611,367833
2023-07-24,4843.38623046875,4879.343990103073,4812.040886580624,4822.803512884965,288534
2023-07-25,4809.85888671875,4870.317228875071,4738.83601534862,4845.122095683565,743269
2023-07-26,4831.185546875,4863.968910287065,4801.923370296338,4850.577744734118,387130
2023-07-27,4811.892578125,4868.433059871676,4785.407632410981,4859.505615385358,321326
2023-07-28,4853.0576171875,4860.497153647164,4790.714204786551,4815.859934889179,255158
2023-07-31,4891.64404296875,4898.587610511206,4826.820783399861,4856.033557727124,325463
2023-08-01,4884.25439453125,4938.513124585281,4859.654036056139,4901.91070111808,391794
2023-08-02,4793.14501953125,4898.1417824592445,4782.382392414376,4873.789407282192,249850
2023-08-03,4787.39111328125,4874.03701141995,4767.2549616754395,4798.005045697899,418377
2023-08-04,4674.01318359375,4824.98638381365,4662.109924212781,4791.0619008399435,451353
2023-08-07,4632.45068359375,4705.30825375963,4627.391701905982,4705.30825375963,436583
2023-08-08,4612.66162109375,4660.1259638912425,4599.717020487549,4632.450983196875,487053
2023-08-09,4628.92919921875,4651.99176329419,4578.886205627551,4613.008784207836,282034
2023-08-10,4599.220703125,4670.441671343934,4591.483294645358,4632.351341762432,330123
2023-08-11,4561.97314453125,4612.512589111159,4544.664113701585,4599.220714217953,274197
2023-08-14,4579.4814453125,4596.344395315049,4504.391527151448,4539.10936539199,154258
2023-08-16,4563.51123046875,4577.795044464415,4522.990455903925,4540.101390793851,188763
2023-08-17,4620.2998046875,4630.814447302445,4539.158962946572,4539.158962946572,311184
2023-08-18,4578.34033203125,4612.066232059665,4558.25358274962,4612.066232059665,243546
2023-08-21,4573.6787109375,4592.624828936787,4555.773934393296,4565.891898577796,118491
2023-08-22,4591.0869140625,4599.171113956794,4564.552565790437,4580.721449923875,96290
2023-08-23,4623.17626953125,4628.731220685342,4581.762846959147,4602.593550528349,263771
2023-08-24,4592.82275390625,4688.99136019727,4537.5720844388225,4651.198416311567,433867
2023-08-25,4547.09423828125,4609.437652751991,4532.909715365162,4586.72236420997,293384
2023-08-28,4563.3623046875,4582.75450283929,4549.028603900646,4549.5245730026845,283469
2023-08-29,4626.9453125,4633.343507870513,4567.924987362279,4577.794966564423,320941
2023-08-30,4637.31103515625,4682.741610490014,4624.019160288081,4651.148766635446,370694
2023-08-31,4576.6044921875,4665.13498076933,4565.098395993358,4637.311306667265,479472
2023-09-01,4630.814453125,4661.117973815672,4581.762911482142,4585.1354047623445,456071
2023-09-04,4599.76611328125,4651.59488407373,4585.135024875718,4645.246576481989,328037
2023-09-05,4663.69677734375,4696.827416634359,4597.9808710392035,4601.60134863079,353620
2023-09-06,4646.0400390625,4672.029014153047,4629.078282983798,4663.597539286741,224928
2023-09-07,4679.17138671875,4686.908311463223,4617.472632774879,4641.279151182311,319934
2023-09-08,4721.17919921875,4746.027541383784,4664.787900823127,4679.171004519458,209769
2023-09-11,4767.65185546875,4771.222929998425,4724.601832761434,4740.472844586792,151600
2023-09-12,4781.7373046875,4810.751496557536,4724.204890039225,4804.899158143312,305478
2023-09-13,4769.53662109375,4803.957073025788,4761.551711705975,4781.14249266659,207142
2023-09-14,4805.44482421875,4818.835990515985,4748.953747471366,4776.133242839408,249498
2023-09-15,5089.13916015625,5107.4900176677775,4853.5538272379945,4855.4384130323715,1689829
2023-09-18,5134.9169921875,5232.37492424777,5053.181378097015,5082.691540731042,804973
2023-09-20,5141.16650390625,5220.918241675379,5124.452247663501,5134.272339388029,622924
2023-09-21,5044.20458984375,5143.745205897568,5032.2020401326345,5126.336883323139,640829
2023-09-22,4960.732421875,5043.162584501644,4955.921909002794,5010.279929506988,498375
2023-09-25,4965.09765625,5019.356389546909,4952.599137055831,4959.6913988872675,539731
2023-09-26,5028.33349609375,5061.811411534945,4959.839870339747,4970.602497061663,450923
2023-09-27,4992.37548828125,5026.696162050033,4977.5458186587175,5024.365494788173,257406
2023-09-28,4966.23828125,5087.502735778139,4940.00132004973,5007.105847711053,580065
2023-09-29,5022.8779296875,5041.526175121678,4964.551669755031,4988.45747854145,248079
2023-10-03,4976.0087890625,5032.102702923681,4956.814687206033,5024.167196985698,464531
2023-10-04,4878.947265625,4978.736344150707,4863.522336203374,4970.850241822609,256544
2023-10-05,4970.65185546875,4998.67411036345,4885.395055519917,4895.215147091924,657876
2023-10-06,4974.17333984375,5078.723528104118,4957.21109994147,5078.723528104118,279352
2023-10-09,4966.93212890625,5027.837523993081,4917.087232612265,4917.087232612265,244083
2023-10-10,4996.888671875,5023.175034119106,4961.873447227384,4966.931944560768,307502
2023-10-11,5023.57177734375,5053.925183459795,5009.287963978796,5014.247655032241,575680
2023-10-12,5065.431640625,5109.473599241637,5010.379071267999,5044.005678925204,472168
2023-10-13,5011.66845703125,5082.14595663874,4999.368520239309,5048.916026990324,387366
2023-10-16,5035.77294921875,5058.289656179052,4991.4331170995865,4994.408931756045,158560
2023-10-17,5099.80224609375,5108.481705301787,5029.126649685449,5042.021846223104,318565
2023-10-18,5095.93408203125,5156.838993909779,5084.328210730676,5108.48200406547,360985
2023-10-19,5438.40087890625,5450.700816637151,5202.716248091329,5257.27285317141,2838352
2023-10-20,5445.04638671875,5465.579702023272,5393.068919815301,5406.0634076273745,763919
2023-10-23,5361.82275390625,5449.113317207433,5351.5560964672,5409.088513188435,451167
2023-10-25,5304.19091796875,5380.2233681140515,5289.3118450393085,5341.587181669341,620266
2023-10-26,5216.95068359375,5304.34054282698,5193.7888279142735,5290.850085366022,746266
2023-10-27,5330.2294921875,5379.975581992216,5222.554790854727,5222.554790854727,843465
2023-10-30,5266.1005859375,5354.234391421687,5232.473977999981,5344.562994021592,360967
2023-10-31,5271.208984375,5322.889061330657,5249.932200646778,5296.949974336531,400987
2023-11-01,5301.26513671875,5405.567343954155,5262.232270791228,5262.232270791228,619765
2023-11-02,5275.5244140625,5349.37441222261,5242.393772614476,5340.496370941639,304362
2023-11-03,5325.6669921875,5333.701304432697,5273.738928602724,5313.813136515391,448715
2023-11-06,5363.26123046875,5383.744657723596,5333.75106859546,5336.627592547757,394137
2023-11-07,5375.3134765625,5401.103871541393,5361.7237285472165,5363.261523470181,202689
2023-11-08,5354.0859375,5391.432315341969,5337.867650417915,5390.192392542801,202145
2023-11-09,5375.2138671875,5411.022933423393,5338.760137984327,5378.090391126404,232773
2023-11-10,5348.58056640625,5383.298405930188,5305.927220705413,5366.336648952952,149325
2023-11-13,5381.46337890625,5395.945289318659,5352.052023458654,5391.184179641268,93497
2023-11-15,5492.064453125,5510.216728537788,5417.073827961263,5480.458582389069,640468
2023-11-16,5506.14990234375,5538.288604583842,5452.635124681093,5475.499107469817,324712
2023-11-17,5586.10009765625,5629.200007143658,5435.176794035401,5512.101409419946,531539
2023-11-20,5604.599609375,5630.191905932377,5560.805634045764,5564.822790079128,679425
2023-11-21,5640.111328125,5661.3387092106195,5594.531573078035,5595.027542189123,746193
2023-11-22,5705.18212890625,5718.424601136173,5615.659703713279,5634.209142338844,497403
2023-11-23,5877.48193359375,5897.07271342388,5736.4780125967445,5753.241671633054,1118718
2023-11-24,5882.4912109375,5911.951970703947,5852.435675696861,5892.113205701585,297211
2023-11-28,5949.79443359375,5990.9598717728895,5864.339048555907,5921.672886787945,380535
2023-11-29,6021.015625,6047.252100454907,5925.144408039295,5961.548734649381,406974
2023-11-30,6041.44921875,6079.490146901679,5982.379490639555,6045.863537630259,501833
2023-12-01,5997.30810546875,6040.9039856052705,5954.902744978664,6001.226455322149,439023
2023-12-04,6151.70361328125,6167.574625215509,6038.374668688183,6041.449289774569,359158
2023-12-05,6090.60009765625,6144.11487521476,6061.833888633135,6144.11487521476,565826
2023-12-06,6021.015625,6046.8554220337155,5939.5773998257555,6039.961257629256,699201
2023-12-07,6044.47509765625,6104.834637842457,6014.220980627891,6021.015854599952,427407
2023-12-08,6026.71923828125,6070.661907698717,5999.291759016515,6065.702216597656,233266
2023-12-11,6088.91357421875,6095.460463448787,5969.781695143078,6035.944169257261,175955
2023-12-12,6203.7802734375,6249.16144747195,6100.37071293277,6114.307251330005,810900
2023-12-13,6265.18115234375,6277.977058643767,6174.170819727134,6209.434030071167,373989
2023-12-14,6283.77978515625,6308.726933945893,6233.5382123389945,6274.009097045247,419212
2023-12-15,6224.61083984375,6350.487701635995,6205.7141263645435,6317.605046892517,553522
2023-12-18,6413.5751953125,6434.455301276553,6211.66587837117,6224.610962855078,851061
2023-12-19,6367.25146484375,6418.088298863572,6344.337594982433,6417.840314307378,377109
2023-12-20,6313.1416015625,6413.872737313296,6298.807900083425,6382.130713249883,385863
2023-12-21,6195.99365234375,6293.8482649047,6181.759241432008,6282.143587164962,397717
2023-12-22,6320.7294921875,6343.444780066545,6213.748860599196,6237.307392816018,237213
2023-12-26,6412.43408203125,6422.800030258173,6318.695919427482,6328.417204674775,302139
2023-12-27,6655.55810546875,6685.911511525458,6413.079100946772,6417.84021061084,1017894
2023-12-28,6649.25927734375,6684.324390294757,6612.260175470366,6655.558181910623,406228
2023-12-29,6742.4521484375,6778.856475295103,6612.260255468664,6675.694899152178,345626
2024-01-01,6647.0771484375,6740.716017360431,6628.180435178746,6715.421593338256,253274
2024-01-02,6611.31787109375,6682.489440872173,6508.057486249997,6656.897627637523,361379
2024-01-03,6930.17626953125,7002.935033740102,6550.759906102394,6590.486837476426,1256275
2024-01-04,6866.34521484375,6972.284509848268,6831.47868245639,6968.366160048808,619987
2024-01-05,6922.24072265625,7026.890202664881,6864.708307106481,6893.970483980932,659306
2024-01-08,6927.5478515625,6993.015774242651,6905.3779354223,6962.364980038638,312733
